time,latitude,longitude,depth,temperature,salinity,oxy_conc,oxy_temperature,oxy_percentsat,oxy_conc_umkg
2022-07-08 07:00:00,56.866,-164.04983333333334,6.0,9.6912,32.1588,297.5403448026939,9.7872129,105.45255049512579,290.3442352335
2022-07-08 08:00:00,56.866,-164.04983333333334,6.0,9.678,32.1608,297.2418620847303,9.7768368,105.31797643968108,290.051924841649
2022-07-08 09:00:00,56.866,-164.04983333333334,6.0,9.6841,32.1635,297.1004955051223,9.780499,105.28392746137514,289.9136605167026
2022-07-08 10:00:00,56.866,-164.04983333333334,6.0,9.6769,32.1664,297.1610913090909,9.7707332,105.29107201920165,289.97182016547913
2022-07-08 11:00:00,56.866,-164.04983333333334,6.0,9.6628,32.1659,297.0955936324334,9.7566949,105.23513507537868,289.9073726422361
2022-07-08 12:00:00,56.866,-164.04983333333334,6.0,9.6398,32.1679,297.00116151916154,9.7341115,105.15044664327222,289.8137332749374
2022-07-08 13:00:00,56.866,-164.04983333333334,6.0,9.6325,32.1661,297.07064055445926,9.7280079,105.15693777460326,289.8815954233806
2022-07-08 14:00:00,56.866,-164.04983333333334,6.0,9.6234,32.165,296.8198373222197,9.7194629,105.04647062446463,289.6366896921383
2022-07-08 15:00:00,56.866,-164.04983333333334,6.0,9.619,32.1644,296.6001730836146,9.7127489,104.95820018441215,289.4222734815512
2022-07-08 16:00:00,56.866,-164.04983333333334,6.0,9.6258,32.1661,296.57040460324856,9.7200732,104.96452110803413,289.3931599932061
2022-07-08 17:00:00,56.866,-164.04983333333334,6.0,9.6336,32.1682,296.679518035414,9.729839,105.02259435380958,289.49952481590395
2022-07-08 18:00:00,56.866,-164.04983333333334,6.0,9.6512,32.1681,296.53908978360175,9.7438773,105.01311100811648,289.363319183324
2022-07-08 19:00:00,56.866,-164.04983333333334,6.0,9.6572,32.1665,296.60466738289716,9.7554742,105.04886867948906,289.42793647592976
2022-07-08 20:00:00,56.866,-164.04983333333334,6.0,9.6392,32.164,297.1176328071284,9.736553,105.1873556978964,289.9282202184476
2022-07-08 21:00:00,56.866,-164.04983333333334,6.0,9.6314,32.1644,297.34173311008084,9.7286183,105.24908670056486,290.1464532530363
2022-07-08 22:00:00,56.866,-164.04983333333334,6.0,9.6279,32.1642,297.9169533673471,9.7273976,105.44449235793856,290.70763814618886
2022-07-08 23:00:00,56.866,-164.04983333333334,6.0,9.6291,32.1643,297.7384203276646,9.7267872,105.3841371558207,290.53345815371864
2022-07-09 00:00:00,56.866,-164.04983333333334,6.0,9.6556,32.1652,297.6401821564165,9.7530327,105.41095543648657,290.43861010030713
2022-07-09 01:00:00,56.866,-164.04983333333334,6.0,9.6835,32.1654,297.51412036106655,9.7859922,105.43056556612504,290.31683202595406
2022-07-09 02:00:00,56.866,-164.04983333333334,6.0,9.7113,32.1683,297.3828472682606,9.8165103,105.45009577919183,290.18936845754956
2022-07-09 03:00:00,56.866,-164.04983333333334,6.0,9.7376,32.1716,297.18049787324577,9.8714427,105.44121581181838,289.99239226130334
2022-07-09 04:00:00,56.866,-164.04983333333334,6.0,9.726,32.1703,297.1873162685575,9.8494697,105.41602075165646,289.9988000495883
2022-07-09 05:00:00,56.866,-164.04983333333334,6.0,9.7362,32.1693,297.48244622570076,9.861677,105.54338731946105,290.2874814329553
2022-07-09 06:00:00,56.866,-164.04983333333334,6.0,9.7776,32.1682,297.4150427450402,9.8970779,105.61375829525102,290.22385781246487
2022-07-09 07:00:00,56.866,-164.04983333333334,6.0,9.8856,32.1584,296.4912827157402,10.021592,105.52572952963186,289.32957449383315
2022-07-09 08:00:00,56.866,-164.04983333333334,6.0,9.7374,32.1686,297.2656404571463,9.8647288,105.46869215444141,290.0761292208169
2022-07-09 09:00:00,56.866,-164.04983333333334,6.0,9.775,32.1595,296.6846254393411,9.9318685,105.34184040848105,289.5129003391337
2022-07-09 10:00:00,56.866,-164.04983333333334,6.0,9.7957,32.16,296.37545712309634,9.9703212,105.27983985400499,289.21204689915385
2022-07-09 11:00:00,56.866,-164.04983333333334,6.0,9.9694,32.1695,295.0485159187061,10.074693,105.21170291894325,287.9230943826438
2022-07-09 12:00:00,56.866,-164.04983333333334,6.0,9.9637,32.1683,295.177349882155,10.060044,105.24373171587011,288.0488161298749
2022-07-09 13:00:00,56.866,-164.04983333333334,6.0,9.9402,32.1747,295.0744987166263,10.05211,105.15828703809429,287.9459584004532
2022-07-09 14:00:00,56.866,-164.04983333333334,6.0,9.9265,32.1754,294.83791187188615,10.027695,105.04327747854192,287.71430115394185
2022-07-09 15:00:00,56.866,-164.04983333333334,6.0,9.8611,32.1765,294.45659192595286,10.029526,104.75941337484767,287.3389452009664
2022-07-09 16:00:00,56.866,-164.04983333333334,6.0,9.9209,32.166,294.544658704239,10.011826,104.9189730868901,287.42993247766384
